Damaged_Parts,Severity,Cost_Repair_Euros
"Fender, Bonnet",severe,288
"Light, Door, Bonnet, Dickey, Windshield, Bumper",minor,276
"Bonnet, Windshield, Door, Dickey, Bumper, Fender, Light",minor,224
"Fender, Bonnet, Windshield, Light",severe,472
Door,severe,149
"Light, Fender, Bumper, Dickey, Bonnet, Door, Windshield",minor,203
"Light, Bonnet, Windshield, Bumper, Dickey, Fender, Door",moderate,595
"Dickey, Fender, Windshield",minor,141
Windshield,minor,24
"Door, Bumper",severe,220
"Windshield, Door, Bumper, Fender, Light, Bonnet, Dickey",minor,217
"Door, Dickey, Bonnet, Light, Fender, Windshield, Bumper",moderate,574
"Bumper, Windshield, Door, Light, Fender",severe,555
"Bonnet, Light, Bumper, Door, Dickey",severe,600
"Bumper, Windshield, Door, Light, Bonnet",moderate,370
Light,minor,29
"Light, Bonnet, Bumper, Windshield",moderate,204
"Door, Fender, Bumper",minor,81
"Bumper, Bonnet, Fender, Light, Door",moderate,250
"Dickey, Bumper, Light, Bonnet, Windshield, Fender",moderate,366
"Bonnet, Windshield, Door, Dickey, Fender, Bumper",severe,654
Dickey,severe,106
"Fender, Door, Windshield",minor,63
"Fender, Bonnet, Bumper, Windshield",severe,488
"Windshield, Fender, Light, Bonnet, Dickey, Door, Bumper",severe,833
"Dickey, Door, Bonnet, Light, Windshield",moderate,300
"Bonnet, Light, Windshield, Dickey, Bumper, Fender, Door",moderate,623
"Windshield, Fender, Door, Dickey, Light",minor,250
Dickey,severe,102
Fender,minor,22
"Door, Windshield, Fender, Bonnet, Light, Bumper",severe,600
"Light, Dickey",severe,210
Light,minor,35
"Windshield, Dickey, Bumper, Fender",severe,536
"Light, Bumper, Door",moderate,162
Windshield,moderate,55
"Windshield, Dickey, Fender, Bonnet, Light",minor,250
"Bumper, Dickey",severe,268
"Fender, Windshield, Door, Light",severe,424
"Fender, Dickey",moderate,102
"Fender, Light, Bumper, Dickey, Windshield, Door, Bonnet",severe,966
"Bonnet, Door, Light, Fender, Dickey, Bumper",severe,738
Door,minor,32
"Bonnet, Fender, Bumper, Light, Dickey, Windshield",moderate,558
"Windshield, Dickey, Door",minor,87
"Bonnet, Fender, Door, Dickey, Windshield",minor,245
"Door, Fender, Light, Windshield, Dickey",severe,525
"Bonnet, Dickey, Windshield, Fender, Door, Bumper",severe,744
"Fender, Windshield, Bonnet, Door, Dickey, Bumper",minor,126
"Windshield, Light, Bonnet",moderate,177
"Light, Windshield, Door, Fender, Bonnet, Bumper",minor,240
"Windshield, Dickey, Bumper, Door, Fender, Light",severe,612
"Bumper, Light, Door, Windshield, Dickey",moderate,265
"Windshield, Fender, Dickey, Bonnet, Door, Light, Bumper",minor,301
"Light, Dickey, Fender, Bonnet, Door",minor,195
"Windshield, Dickey, Light, Bumper",minor,100
"Bumper, Fender, Door",minor,75
Light,minor,22
"Light, Bonnet, Dickey, Fender, Door, Windshield, Bumper",moderate,609
"Fender, Door",severe,210
"Bumper, Fender, Dickey, Light, Windshield, Door, Bonnet",minor,161
Fender,minor,38
"Bonnet, Windshield, Dickey",moderate,177
Fender,severe,145
"Windshield, Fender, Bonnet",moderate,243
"Windshield, Fender, Light",minor,108
"Light, Dickey",severe,212
"Fender, Light, Bonnet, Bumper, Door, Dickey",moderate,528
"Door, Windshield",severe,272
"Light, Door, Bonnet",severe,315
"Bumper, Dickey, Bonnet, Door, Fender, Windshield",moderate,390
"Light, Door, Bonnet",severe,447
"Door, Windshield, Bumper, Fender, Bonnet, Light",minor,222
"Bonnet, Light, Dickey, Windshield",severe,480
"Fender, Door",severe,286
Fender,moderate,59
"Light, Fender, Bonnet, Windshield, Bumper",severe,710
"Light, Door, Fender, Bumper, Dickey",moderate,300
"Dickey, Bumper, Door, Light, Fender, Bonnet",minor,300
Dickey,moderate,72
"Dickey, Windshield, Fender, Bumper, Bonnet, Door",severe,852
"Dickey, Door, Bonnet, Bumper, Fender",minor,155
"Bumper, Bonnet, Door, Fender",moderate,388
"Bumper, Windshield, Door, Fender, Dickey, Bonnet, Light",severe,952
"Bonnet, Door, Light, Dickey",moderate,328
"Fender, Bumper, Bonnet, Door, Dickey, Windshield",severe,600
"Dickey, Light, Windshield, Bonnet",moderate,220
"Bumper, Dickey, Light, Door, Fender, Bonnet, Windshield",minor,196
"Windshield, Bumper, Fender, Bonnet, Dickey",moderate,355
"Windshield, Door, Bumper, Light",minor,152
Fender,minor,40
Fender,severe,137
"Bumper, Light",moderate,168
Door,moderate,57
"Bumper, Dickey, Windshield",severe,345
"Bumper, Fender, Dickey, Door, Light, Bonnet, Windshield",moderate,637
"Bonnet, Light, Fender, Bumper",minor,92
"Dickey, Bumper, Fender, Light, Windshield, Bonnet, Door",severe,882
"Fender, Dickey, Bumper, Light, Windshield, Door",moderate,582
"Bonnet, Windshield",minor,50
"Windshield, Bonnet, Door, Light, Dickey, Fender",minor,198
"Fender, Bonnet, Dickey, Windshield, Bumper",severe,660
"Bumper, Windshield, Bonnet, Dickey",minor,132
"Fender, Windshield",minor,66
Bonnet,moderate,92
"Dickey, Light",minor,90
"Bumper, Door, Light, Windshield, Dickey, Fender",minor,252
"Dickey, Fender, Bonnet, Door, Windshield",moderate,390
Fender,moderate,96
Fender,minor,32
"Bonnet, Light, Dickey",minor,111
"Fender, Door, Dickey, Light, Bumper, Bonnet",minor,240
"Fender, Dickey, Light",minor,63
"Windshield, Door, Bumper, Bonnet, Fender, Dickey",minor,222
"Windshield, Dickey, Light, Bonnet",severe,512
"Light, Door, Fender, Bumper, Windshield",minor,135
"Door, Bumper, Windshield, Fender",severe,492
"Light, Door, Fender",severe,318
"Bumper, Fender, Light, Dickey, Door",minor,235
"Door, Light, Bonnet, Fender, Dickey",moderate,325
"Bonnet, Windshield, Bumper, Door, Light, Dickey",severe,792
"Bonnet, Bumper, Windshield, Light, Dickey, Fender, Door",moderate,518
"Fender, Door, Bonnet, Dickey",minor,116
"Dickey, Bonnet, Fender, Light, Windshield",severe,535
"Dickey, Door, Windshield, Bumper, Bonnet, Light, Fender",severe,875
"Bumper, Bonnet, Door, Windshield",minor,176
"Bonnet, Light, Windshield, Fender, Dickey",moderate,445
"Windshield, Door, Bumper, Bonnet",minor,116
"Dickey, Fender, Door, Windshield, Light",moderate,270
Fender,moderate,100
"Door, Fender, Bumper",moderate,249
"Bonnet, Dickey, Bumper, Door",minor,92
"Fender, Bumper, Windshield, Door, Dickey, Bonnet",minor,126
"Dickey, Light, Bumper, Door, Fender",severe,730
Fender,severe,137
"Fender, Bumper, Door",moderate,213
"Bumper, Windshield",severe,242
Dickey,minor,21
"Dickey, Bumper, Door",minor,72
"Bumper, Windshield, Bonnet",minor,132
"Bonnet, Light, Bumper, Dickey",moderate,272
"Door, Windshield, Dickey, Light, Bonnet, Bumper, Fender",severe,959
Door,severe,133
"Bumper, Light, Door, Windshield",severe,464
"Bumper, Bonnet, Fender, Light, Door, Dickey, Windshield",moderate,651
"Fender, Dickey, Door, Windshield",severe,560
"Door, Light, Bonnet",moderate,210
"Dickey, Door",minor,88
"Windshield, Door, Bumper, Fender, Dickey",moderate,320
"Windshield, Light, Fender, Bonnet, Bumper, Dickey",moderate,372
Fender,minor,46
"Light, Door, Dickey, Bumper",moderate,224
"Bumper, Dickey, Bonnet, Fender, Light, Door",severe,834
"Bumper, Dickey, Windshield, Door, Fender",minor,135
Bumper,minor,39
"Door, Fender, Dickey, Windshield, Bonnet",moderate,380
"Door, Dickey, Windshield, Light, Bumper, Bonnet, Fender",severe,1043
"Bonnet, Bumper",severe,206
"Fender, Light, Door, Dickey",severe,504
"Windshield, Bonnet, Fender",severe,360
"Bonnet, Bumper, Windshield, Light, Fender, Door, Dickey",moderate,511
"Dickey, Bonnet, Door, Light, Fender, Bumper",minor,174
"Fender, Door, Dickey, Bumper, Light",minor,125
"Bonnet, Bumper",severe,264
"Door, Light, Fender, Bumper",severe,428
"Door, Light, Fender, Dickey, Bumper",moderate,250
"Dickey, Bumper, Light, Door, Bonnet, Windshield, Fender",moderate,441
"Bonnet, Fender, Door, Dickey",severe,460
"Light, Bonnet",minor,52
"Bonnet, Dickey, Door",minor,63
"Bumper, Windshield, Light",minor,78
"Bonnet, Light, Fender, Windshield, Dickey, Bumper, Door",moderate,420
"Bonnet, Dickey, Light, Fender",moderate,264
"Bonnet, Windshield, Fender, Dickey",minor,148
"Fender, Door, Bonnet",moderate,231
"Bonnet, Light",minor,62
"Light, Bumper, Bonnet",minor,111
"Bumper, Bonnet",minor,48
"Windshield, Fender, Light, Bonnet, Door, Dickey, Bumper",moderate,364
Bonnet,minor,50
"Dickey, Light",moderate,150
"Bonnet, Door, Bumper",moderate,213
Windshield,minor,35
"Dickey, Windshield, Fender, Bumper, Bonnet",minor,200
"Dickey, Bonnet, Door, Bumper, Fender, Windshield",minor,162
"Bumper, Bonnet, Light, Windshield, Door, Fender, Dickey",minor,231
Light,moderate,82
"Bumper, Windshield, Bonnet, Door, Light, Fender",minor,204
"Dickey, Door, Bumper, Windshield, Bonnet, Fender, Light",minor,238
"Dickey, Bonnet, Light",moderate,234
"Door, Dickey, Windshield, Light",severe,436
"Fender, Dickey, Light",minor,123
"Fender, Windshield, Dickey",moderate,183
"Windshield, Bonnet",moderate,156
"Bonnet, Door, Light, Fender, Bumper",severe,615
Fender,moderate,87
"Fender, Bumper, Door, Light, Dickey, Bonnet",moderate,576
"Fender, Light, Door, Bumper, Dickey, Windshield",severe,870
"Light, Fender, Bonnet, Door",minor,168
"Bumper, Bonnet, Windshield, Light, Door, Dickey",minor,144
"Bonnet, Light, Bumper, Door, Windshield, Dickey",minor,210
"Door, Bumper, Windshield, Dickey, Light, Bonnet",severe,858
"Windshield, Door, Dickey, Bumper",severe,400
"Bumper, Windshield, Fender",moderate,249
"Windshield, Bumper, Dickey, Bonnet",severe,484
Light,minor,35
"Bumper, Bonnet, Dickey, Fender, Windshield, Light",severe,768
"Windshield, Fender",moderate,108
Windshield,minor,46
"Door, Windshield, Fender",severe,390
"Light, Windshield",moderate,122
"Door, Bumper, Bonnet, Dickey, Windshield, Light, Fender",moderate,504
"Light, Door, Bonnet, Windshield",minor,80
"Bonnet, Light",minor,42
"Light, Fender, Bumper, Door, Dickey, Bonnet, Windshield",moderate,392
"Dickey, Bumper, Door, Bonnet, Windshield",minor,170
"Dickey, Windshield, Light, Fender, Bonnet, Bumper, Door",severe,924
"Door, Bonnet, Bumper, Fender, Windshield, Light, Dickey",severe,763
"Light, Bumper, Door, Fender, Bonnet",moderate,365
"Fender, Windshield, Bonnet, Dickey, Light",moderate,340
"Door, Bumper, Windshield",severe,396
Bumper,minor,46
"Fender, Light, Door, Bonnet",minor,172
"Bumper, Fender, Light, Door",moderate,396
"Light, Windshield",moderate,112
"Light, Door, Bonnet, Bumper, Dickey, Windshield",moderate,576
Windshield,severe,100
"Bonnet, Door, Windshield",severe,351
Bonnet,severe,148
"Fender, Dickey",minor,70
"Dickey, Windshield, Door, Bonnet, Light, Fender, Bumper",moderate,595
"Dickey, Light, Bonnet, Door, Fender, Windshield",minor,174
"Dickey, Door, Fender, Light, Bonnet",minor,130
"Bumper, Light, Dickey, Fender, Door, Bonnet, Windshield",minor,210
"Windshield, Door, Fender, Dickey, Light, Bumper, Bonnet",severe,868
"Windshield, Light, Fender, Bonnet",moderate,324
Windshield,minor,48
Fender,moderate,76
"Bumper, Fender, Windshield",severe,300
"Bonnet, Windshield, Fender, Door, Bumper, Dickey, Light",minor,196
"Dickey, Windshield, Bumper, Light",minor,180
"Bonnet, Windshield, Fender, Light, Bumper, Door",moderate,390
"Light, Windshield, Door",moderate,270
"Bumper, Fender, Dickey, Windshield",minor,128
"Door, Bonnet",severe,264
"Bonnet, Light, Fender, Windshield, Dickey, Door, Bumper",minor,266
"Door, Fender, Dickey, Light",moderate,208
Bumper,minor,37
"Dickey, Door, Fender, Windshield, Bonnet",severe,590
"Windshield, Bonnet",moderate,108
"Windshield, Light",moderate,184
Light,moderate,63
Fender,minor,44
"Bonnet, Windshield",minor,100
"Bonnet, Dickey, Bumper, Windshield, Light, Door, Fender",severe,889
"Bumper, Windshield, Fender, Door",moderate,280
"Door, Fender, Dickey, Bonnet, Light",minor,135
"Bonnet, Door, Windshield, Fender, Bumper, Dickey",minor,162
"Light, Bumper, Windshield, Fender",moderate,256
Dickey,minor,25
Bonnet,severe,144
"Bonnet, Door, Light",severe,438
"Door, Light",severe,290
"Windshield, Fender, Bonnet, Light, Dickey",moderate,395
"Door, Light",severe,276
"Door, Bumper, Dickey, Bonnet, Fender, Light",moderate,486
"Fender, Bonnet, Door, Bumper, Light, Windshield",severe,618
"Bumper, Fender, Light, Dickey, Bonnet, Windshield, Door",severe,903
"Dickey, Light, Bonnet, Bumper, Fender, Door, Windshield",minor,322
"Bumper, Bonnet, Fender, Door, Dickey, Windshield, Light",moderate,651
Door,severe,135
"Bumper, Bonnet, Fender, Door, Light, Windshield, Dickey",minor,168
"Door, Bumper, Windshield, Bonnet",moderate,328
"Bonnet, Dickey, Door, Fender",minor,120
"Fender, Bonnet, Door, Bumper, Windshield, Dickey",moderate,480
Fender,moderate,80
"Bonnet, Light, Windshield, Bumper, Fender, Door",moderate,360
"Dickey, Fender",moderate,108
"Dickey, Bonnet, Door, Windshield, Fender, Light",minor,216
Dickey,minor,43
"Dickey, Fender, Door, Bumper",moderate,336
Light,minor,34
"Door, Windshield, Bonnet, Light",moderate,340
"Windshield, Dickey, Door, Bumper, Bonnet, Fender",severe,600
"Dickey, Fender, Light, Bumper",severe,536
"Dickey, Bonnet",moderate,192
"Door, Windshield, Dickey, Fender",minor,180
"Door, Bumper",severe,256
"Fender, Bonnet",severe,242
"Windshield, Light",severe,280
"Dickey, Light, Windshield, Fender, Bonnet, Bumper",moderate,312
"Door, Fender, Light, Bonnet, Bumper, Dickey, Windshield",minor,224
"Bonnet, Door, Light",moderate,153
"Bumper, Windshield, Bonnet, Dickey, Door",severe,575
"Bonnet, Windshield, Door, Bumper, Fender, Light",minor,138
"Bonnet, Windshield",minor,56
Door,minor,46
"Dickey, Door, Light, Windshield",moderate,256
"Bumper, Door, Windshield, Fender, Bonnet, Light",severe,690
"Bumper, Bonnet, Door",moderate,285
"Bonnet, Dickey, Bumper, Windshield, Fender, Light, Door",moderate,616
Door,severe,122
"Dickey, Light, Bonnet, Windshield, Door, Bumper, Fender",moderate,665
"Fender, Bonnet, Bumper, Dickey, Windshield, Door",minor,282
"Light, Bumper, Windshield",moderate,222
"Dickey, Light",severe,284
"Bonnet, Bumper, Fender, Dickey, Light, Windshield, Door",moderate,483
Door,moderate,52
"Bonnet, Windshield, Door",severe,363
"Bonnet, Bumper, Door",moderate,300
"Light, Fender, Bonnet, Dickey",minor,116
"Windshield, Fender, Light, Dickey, Bumper, Door, Bonnet",minor,315
"Door, Fender, Dickey",moderate,285
"Door, Light, Fender, Dickey, Windshield",moderate,390
Fender,severe,135
"Fender, Door, Dickey, Windshield, Bonnet",moderate,285
Fender,minor,46
"Door, Fender, Dickey",minor,63
"Light, Bonnet, Door, Windshield, Fender",minor,210
"Bumper, Dickey, Windshield, Door",moderate,256
"Bumper, Windshield, Door, Bonnet",severe,596
"Bumper, Windshield, Fender",minor,72
"Dickey, Fender, Door, Windshield, Light, Bumper",minor,210
"Bonnet, Light, Dickey, Windshield, Fender",minor,245
"Dickey, Door, Bonnet, Fender, Windshield, Light",severe,774
"Bonnet, Dickey, Door",minor,105
"Dickey, Fender, Windshield, Bumper, Door, Bonnet, Light",severe,721
"Dickey, Light, Bumper, Windshield, Fender, Bonnet",minor,288
"Bumper, Light, Fender, Door, Dickey, Bonnet",severe,894
"Door, Bonnet, Bumper, Dickey",minor,172
"Dickey, Light, Door, Bumper, Bonnet, Fender",moderate,492
"Door, Windshield, Bumper, Light",severe,560
"Windshield, Bumper, Bonnet, Door, Fender, Dickey, Light",severe,987
Fender,moderate,75
"Bumper, Dickey, Windshield, Door, Bonnet, Light",minor,120
"Bonnet, Fender, Dickey, Door, Windshield, Bumper, Light",minor,252
"Door, Fender, Windshield, Dickey, Bumper, Bonnet, Light",minor,238
"Bumper, Dickey, Windshield, Door, Light, Fender, Bonnet",minor,161
"Bumper, Fender, Dickey, Door, Windshield",minor,185
"Windshield, Fender, Bumper, Door, Dickey, Light",severe,822
"Bumper, Windshield",moderate,160
Bumper,minor,28
Light,minor,43
"Light, Fender",severe,282
"Windshield, Bumper, Light, Dickey, Bonnet, Door",moderate,330
"Light, Fender, Windshield, Bonnet, Dickey, Door, Bumper",minor,294
"Windshield, Fender, Bumper, Bonnet, Door",severe,565
"Light, Windshield, Dickey, Bumper",moderate,228
"Bumper, Dickey, Light",moderate,216
"Bumper, Dickey, Fender, Door, Windshield, Light",minor,168
"Bumper, Light, Bonnet, Door, Fender, Windshield, Dickey",minor,266
"Dickey, Bumper, Windshield, Light, Bonnet, Door, Fender",minor,203
Fender,minor,25
"Door, Light",severe,244
"Dickey, Bonnet, Windshield, Fender, Bumper, Door, Light",severe,910
"Light, Bonnet, Fender, Bumper, Dickey",minor,250
"Windshield, Dickey, Fender, Bumper, Light, Door",severe,828
"Light, Fender, Windshield",minor,144
"Bonnet, Dickey",severe,220
"Door, Light, Windshield, Fender",minor,148
"Bumper, Bonnet, Door, Light, Dickey, Windshield",minor,252
"Bumper, Windshield, Fender",moderate,156
"Windshield, Door, Bonnet, Dickey",severe,416
"Bonnet, Windshield, Light, Door, Dickey, Fender, Bumper",severe,931
"Fender, Dickey, Door, Windshield",severe,552
Bonnet,minor,20
"Door, Bumper, Fender",minor,120
"Door, Bonnet, Bumper, Dickey, Light, Fender",severe,744
"Bumper, Door, Fender, Bonnet, Light",severe,605
"Windshield, Light",moderate,192
"Windshield, Fender, Door, Dickey, Bumper, Light",minor,132
"Light, Windshield, Bonnet, Dickey, Door, Bumper, Fender",minor,168
"Bumper, Dickey, Fender, Windshield, Door",severe,630
"Door, Bumper, Dickey, Windshield, Bonnet",minor,105
"Fender, Windshield, Door, Bumper, Light, Bonnet, Dickey",moderate,406
Windshield,severe,146
"Bonnet, Bumper, Light",severe,414
"Light, Bonnet, Door, Windshield, Bumper, Fender, Dickey",minor,259
"Dickey, Fender, Bumper, Door, Light, Windshield, Bonnet",severe,938
"Light, Bumper",severe,284
"Door, Fender, Light",minor,105
"Bonnet, Windshield, Fender, Door",minor,96
"Bonnet, Light",severe,236
"Light, Bumper, Windshield, Dickey, Door",minor,165
"Bumper, Windshield, Fender, Door, Light",moderate,370
Fender,minor,24
Bumper,severe,139
"Bumper, Bonnet, Light, Windshield, Fender, Dickey",minor,174
"Bumper, Dickey, Windshield, Door, Bonnet, Fender, Light",minor,329
"Windshield, Door, Bumper, Dickey, Bonnet, Fender, Light",minor,308
"Bonnet, Door, Bumper, Dickey, Fender, Light, Windshield",moderate,525
"Fender, Windshield, Door, Bumper",moderate,376
"Dickey, Fender, Light",minor,138
"Dickey, Bonnet, Bumper",moderate,198
"Bumper, Light, Fender, Windshield, Dickey, Door",minor,168
"Fender, Bonnet, Bumper",severe,360
"Windshield, Light, Dickey, Door, Fender, Bonnet",severe,804
"Windshield, Bumper, Dickey, Bonnet, Light, Fender",moderate,534
"Bonnet, Dickey",minor,60
"Dickey, Light, Bonnet, Bumper, Door, Fender, Windshield",moderate,434
"Bumper, Fender, Bonnet, Windshield",severe,560
"Door, Fender, Bonnet, Dickey, Light, Bumper",minor,288
Light,severe,105
"Light, Dickey, Bumper, Fender, Bonnet",severe,685
"Door, Windshield",moderate,120
"Dickey, Bumper, Windshield, Door, Light",severe,550
"Bumper, Fender, Windshield",moderate,156
"Bumper, Light",moderate,194
"Windshield, Light, Bumper",severe,363
"Bonnet, Bumper",severe,268
"Bonnet, Windshield, Bumper, Light, Dickey",severe,640
"Dickey, Door, Bumper, Fender, Windshield, Light",moderate,438
Dickey,severe,107
"Fender, Bonnet, Bumper, Windshield, Door",minor,145
"Door, Bumper, Bonnet, Light, Windshield, Fender",moderate,552
Bonnet,moderate,98
Dickey,moderate,96
"Fender, Dickey, Door, Windshield, Bonnet, Bumper, Light",severe,714
"Door, Bonnet, Bumper, Windshield, Light, Dickey, Fender",moderate,644
Light,moderate,76
"Door, Dickey",severe,226
"Windshield, Bonnet",severe,264
"Bonnet, Fender, Light, Bumper, Door",minor,105
"Windshield, Dickey",minor,60
"Fender, Door, Windshield, Light, Dickey",minor,140
Bonnet,moderate,77
"Door, Windshield, Light, Fender, Bumper",severe,575
"Door, Light, Fender",moderate,240
"Bumper, Light, Door, Fender, Dickey",severe,590
"Bonnet, Bumper, Windshield, Door, Dickey",severe,655
"Light, Bonnet, Door, Windshield, Dickey",severe,575
"Dickey, Bumper, Windshield, Fender, Door, Bonnet",severe,726
Fender,severe,101
"Dickey, Fender, Bonnet, Door",severe,500
"Light, Door, Bumper, Fender, Windshield, Bonnet",severe,798
Dickey,severe,123
"Bumper, Windshield",minor,58
Windshield,severe,140
"Door, Windshield",minor,66
"Windshield, Bumper, Fender",moderate,210
"Bonnet, Light, Bumper",moderate,159
"Windshield, Fender, Bonnet, Bumper, Dickey, Door",moderate,594
"Windshield, Fender, Dickey, Light",minor,128
"Bumper, Bonnet, Door",minor,75
"Door, Bonnet",moderate,118
Fender,moderate,92
"Fender, Dickey, Windshield, Door, Bumper",moderate,405
"Light, Door, Bonnet, Fender, Bumper, Windshield",severe,606
"Fender, Windshield",minor,42
"Windshield, Bonnet, Light, Fender",moderate,380
"Light, Fender, Door, Bumper, Dickey, Windshield, Bonnet",moderate,504
"Windshield, Dickey, Bonnet, Bumper",minor,80
"Bonnet, Bumper, Light, Dickey",minor,128
"Fender, Bonnet, Dickey, Bumper",severe,544
"Light, Door, Bumper, Bonnet",severe,556
"Door, Dickey, Bonnet, Bumper, Light",moderate,500
"Bumper, Door",severe,268
"Door, Windshield, Light, Bonnet",severe,492
"Windshield, Bonnet",minor,90
"Windshield, Fender, Light, Bumper, Bonnet, Door",severe,606
"Bumper, Fender, Light, Dickey",minor,96
"Dickey, Windshield, Fender",minor,99
"Door, Bonnet, Fender",minor,87
"Bonnet, Light",minor,68
"Bumper, Windshield, Bonnet, Light, Door",minor,160
"Light, Bonnet, Dickey",minor,63
"Fender, Bonnet, Door, Bumper, Light",moderate,345
"Door, Bumper",moderate,126
"Fender, Bumper, Door",moderate,243
"Bumper, Door, Dickey, Windshield, Fender",minor,185
"Light, Fender, Dickey, Windshield, Bumper, Bonnet, Door",severe,721
"Bonnet, Light, Windshield",minor,126
"Light, Door",minor,58
"Light, Windshield, Bonnet, Bumper",minor,192
"Bonnet, Windshield, Light, Bumper, Fender, Dickey, Door",minor,308
"Dickey, Fender",severe,254
"Bonnet, Door",moderate,122
"Dickey, Light, Bonnet, Door, Bumper, Fender",moderate,300
"Bonnet, Windshield, Fender",moderate,249
"Light, Bonnet, Dickey, Bumper, Door, Fender, Windshield",severe,707
"Bonnet, Fender, Dickey, Light, Door",severe,620
"Bonnet, Windshield, Bumper, Door",severe,496
"Bonnet, Light, Dickey, Door",severe,568
"Light, Bumper, Door, Windshield, Fender, Dickey, Bonnet",severe,784
"Fender, Light, Bonnet, Windshield, Door, Dickey",severe,738
Bumper,severe,108
"Light, Bonnet, Fender, Dickey, Windshield",minor,140
"Door, Bumper",moderate,196
Bumper,minor,28
"Fender, Light, Bumper, Windshield, Door, Bonnet",moderate,402
"Light, Bonnet, Windshield, Bumper",severe,444
"Door, Bonnet, Windshield, Fender, Bumper, Dickey",minor,192
"Windshield, Bonnet, Dickey, Door, Bumper",moderate,335
"Dickey, Windshield, Bonnet, Light",moderate,216
"Dickey, Bonnet",moderate,192
"Bonnet, Fender",severe,248
"Bonnet, Door, Bumper, Light",minor,168
"Fender, Dickey, Light",minor,87
Windshield,moderate,78
"Door, Windshield, Dickey, Fender, Bonnet, Light, Bumper",severe,826
"Bumper, Dickey",minor,50
"Door, Dickey",minor,76
"Bonnet, Light, Dickey",moderate,207
"Light, Windshield, Fender, Bonnet, Bumper",moderate,330
"Light, Fender",minor,68
"Bumper, Door, Dickey, Light, Bonnet, Fender",minor,240
Light,minor,44
"Light, Dickey, Fender, Door, Bonnet, Bumper, Windshield",moderate,427
"Dickey, Light, Windshield, Bumper",minor,96
"Fender, Door, Bonnet, Windshield, Bumper",minor,165
"Dickey, Light, Fender, Windshield, Door",minor,165
Bumper,moderate,63
"Windshield, Bonnet, Light, Door, Dickey, Bumper, Fender",minor,273
Dickey,severe,134
"Light, Bonnet, Bumper",moderate,255
"Bumper, Light, Bonnet, Fender, Dickey, Windshield, Door",severe,1015
"Door, Windshield, Dickey, Fender, Bumper, Bonnet, Light",minor,259
"Fender, Dickey, Light, Bonnet, Door",severe,565
"Bumper, Bonnet, Windshield, Light, Dickey",moderate,425
"Fender, Door, Dickey, Light, Windshield, Bumper",severe,606
"Fender, Door, Bumper, Dickey",severe,460
"Windshield, Dickey, Door",moderate,207
Bonnet,severe,105
"Bumper, Windshield",moderate,148
"Windshield, Light, Dickey",moderate,300
"Dickey, Door",minor,56
"Bonnet, Fender",moderate,108
"Dickey, Light, Fender, Bumper, Windshield",severe,555
"Dickey, Bumper",moderate,134
"Dickey, Light, Bonnet, Windshield",minor,120
Fender,moderate,55
"Bumper, Bonnet, Dickey, Light, Windshield, Fender, Door",severe,889
"Door, Windshield, Bonnet, Dickey, Fender, Light",minor,132
"Door, Bumper",minor,70
"Bumper, Door, Windshield, Fender, Light",severe,590
"Dickey, Windshield, Fender, Bumper",severe,496
Bonnet,minor,24
Fender,moderate,87
Windshield,severe,119
"Light, Windshield, Bonnet",minor,96
"Bonnet, Door",moderate,110
"Dickey, Light, Fender, Bumper, Windshield",severe,575
"Bonnet, Bumper, Dickey, Fender, Light, Windshield, Door",minor,301
"Light, Fender, Windshield, Door",minor,172
Bumper,minor,48
"Door, Windshield, Dickey, Light, Bonnet",moderate,295
"Windshield, Fender, Light, Dickey",moderate,304
"Light, Door, Fender",minor,102
"Windshield, Dickey, Fender, Light, Bumper, Door",severe,780
"Door, Light, Dickey, Bonnet",severe,400
"Bumper, Windshield, Door, Dickey",moderate,304
"Fender, Dickey, Windshield, Door, Bonnet, Light, Bumper",moderate,525
"Dickey, Fender, Bonnet, Windshield",severe,540
"Fender, Bonnet, Bumper, Windshield, Dickey",severe,655
"Windshield, Fender, Bonnet, Light, Dickey, Door, Bumper",moderate,427
Bonnet,severe,130
"Dickey, Light, Fender, Door, Windshield, Bumper, Bonnet",severe,903
"Windshield, Fender, Light, Door",moderate,352
"Fender, Dickey, Door",severe,420
"Light, Fender, Dickey, Door, Windshield, Bonnet, Bumper",moderate,504
"Bonnet, Dickey, Door, Windshield, Light, Fender",moderate,468
"Dickey, Windshield, Bonnet, Fender, Light, Bumper, Door",moderate,476
"Bonnet, Bumper",severe,224
"Fender, Bumper, Light, Windshield, Door, Dickey",severe,702
"Windshield, Door, Fender, Bonnet, Light, Bumper",moderate,324
"Bumper, Light",moderate,100
"Bonnet, Light, Door",minor,102
"Windshield, Bonnet, Bumper, Dickey, Door",severe,580
"Fender, Door, Light, Bumper, Dickey, Bonnet, Windshield",severe,938
"Bumper, Dickey, Door",severe,336
"Fender, Bumper",minor,64
"Fender, Dickey, Windshield, Light",minor,96
"Door, Light, Fender, Dickey, Windshield, Bumper",severe,600
Fender,minor,41
"Windshield, Bumper, Fender, Light",severe,552
"Door, Bonnet, Dickey, Windshield",moderate,368
"Fender, Door, Light, Dickey",moderate,256
"Bumper, Door, Dickey",severe,420
Light,minor,21
Bonnet,severe,108
"Door, Fender, Bumper, Light",moderate,392
"Dickey, Bumper, Light, Bonnet",severe,428
"Fender, Bumper, Dickey, Door, Light",minor,170
"Bonnet, Windshield",severe,272
"Light, Fender, Bumper, Bonnet",severe,432
Fender,moderate,71
